Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
|kofxi     |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|kov7sprt  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|maxspeed  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|mslug6    |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|ngbc      |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|rangrmsn  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|rumblef   |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|rumblef2  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|rumblf2p  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|salmankt  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|samsptk   |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|sprtshot  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|vfurlong  |  1  |  H  |                                |      | Yes  | Yes  | No   | card reader unemulated                              |
|xtrmhnt2  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|xtrmhunt  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| System SP                                                                                                                               |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|blockppl  |  1  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|dinoking  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|dinokior  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
|dinoki25  |  2  |  H  |                                |      | Yes  | Yes  | Yes  |                                                     |
